alpha cl cd cm:
-180.0  0.00000  0.02125 -0.00000
-179.0  0.00599  0.04359  0.00169
-178.0  0.01197  0.06591  0.00357
-177.0  0.01796  0.08821  0.00564
-176.0  0.02394  0.11049  0.00790
-175.0  0.02993  0.13273  0.01035
-174.0  0.03592  0.15493  0.01298
-173.0  0.04190  0.17708  0.01579
-172.0  0.04789  0.19918  0.01879
-171.0  0.05388  0.22122  0.02195
-170.0  0.05986  0.24320  0.02530
-169.0  0.06585  0.26509  0.02881
-168.0  0.07183  0.28691  0.03248
-167.0  0.07782  0.30864  0.03631
-166.0  0.08381  0.33028  0.04030
-165.0  0.08383  0.35181  0.04301
-164.0  0.07135  0.37324  0.04287
-163.0  0.05355  0.39456  0.04164
-162.0  0.03172  0.41575  0.03966
-161.0  0.00650  0.43682  0.03709
-160.0 -0.02170  0.45775  0.03404
-159.0  0.05313  0.47855  0.05527
-158.0  0.12766  0.49920  0.07634
-157.0  0.20160  0.51970  0.09716
-156.0  0.27466  0.54004  0.11764
-155.0  0.34656  0.56021  0.13771
-154.0  0.41699  0.58021  0.15729
-153.0  0.48570  0.60004  0.17629
-152.0  0.55241  0.61969  0.19467
-151.0  0.61684  0.63914  0.21234
-150.0  0.67876  0.65840  0.22926
-149.0  0.73792  0.67746  0.24536
-148.0  0.79407  0.69632  0.26060
-147.0  0.84701  0.71496  0.27494
-146.0  0.89652  0.73338  0.28834
-145.0  0.94241  0.75158  0.30077
-144.0  0.98449  0.76956  0.31220
-143.0  1.02259  0.78729  0.32262
-142.0  1.05658  0.80479  0.33202
-141.0  1.08631  0.82204  0.34039
-140.0  1.11167  0.83905  0.34773
-139.0  1.13256  0.85579  0.35405
-138.0  1.14889  0.87228  0.35937
-137.0  1.16060  0.88850  0.36369
-136.0  1.16765  0.90445  0.36705
-135.0  1.17000  0.92012  0.36948
-134.0  1.16929  0.93552  0.37130
-133.0  1.16715  0.95063  0.37281
-132.0  1.16359  0.96544  0.37401
-131.0  1.15861  0.97997  0.37493
-130.0  1.15223  0.99420  0.37556
-129.0  1.14443  1.00812  0.37592
-128.0  1.13525  1.02174  0.37602
-127.0  1.12468  1.03504  0.37587
-126.0  1.11274  1.04803  0.37548
-125.0  1.09944  1.06070  0.37487
-124.0  1.08481  1.07305  0.37405
-123.0  1.06885  1.08507  0.37304
-122.0  1.05159  1.09676  0.37184
-121.0  1.03305  1.10812  0.37048
-120.0  1.01325  1.11914  0.36896
-119.0  0.99222  1.12982  0.36730
-118.0  0.96997  1.14015  0.36552
-117.0  0.94655  1.15014  0.36363
-116.0  0.92197  1.15977  0.36164
-115.0  0.89627  1.16905  0.35958
-114.0  0.86948  1.17798  0.35745
-113.0  0.84163  1.18655  0.35527
-112.0  0.81275  1.19476  0.35306
-111.0  0.78288  1.20260  0.35082
-110.0  0.75206  1.21007  0.34858
-109.0  0.72032  1.21718  0.34635
-108.0  0.68771  1.22392  0.34413
-107.0  0.65426  1.23028  0.34195
-106.0  0.62001  1.23627  0.33982
-105.0  0.58500  1.24188  0.33774
-104.0  0.54928  1.24712  0.33574
-103.0  0.51289  1.25197  0.33382
-102.0  0.47588  1.25645  0.33198
-101.0  0.43829  1.26054  0.33025
-100.0  0.40016  1.26424  0.32863
 -99.0  0.36155  1.26757  0.32713
 -98.0  0.32250  1.27050  0.32575
 -97.0  0.28305  1.27305  0.32451
 -96.0  0.24326  1.27521  0.32341
 -95.0  0.20317  1.27698  0.32246
 -94.0  0.16283  1.27836  0.32165
 -93.0  0.12230  1.27936  0.32100
 -92.0  0.08162  1.27996  0.32051
 -91.0  0.04083  1.28018  0.32017
 -90.0  0.00000  1.28000  0.32000
 -89.0 -0.04083  1.28018  0.32017
 -88.0 -0.08161  1.27996  0.32051
 -87.0 -0.12230  1.27936  0.32100
 -86.0 -0.16283  1.27836  0.32165
 -85.0 -0.20317  1.27698  0.32246
 -84.0 -0.24326  1.27521  0.32341
 -83.0 -0.28305  1.27305  0.32451
 -82.0 -0.32250  1.27050  0.32575
 -81.0 -0.36155  1.26757  0.32713
 -80.0 -0.40016  1.26424  0.32863
 -79.0 -0.43829  1.26054  0.33025
 -78.0 -0.47588  1.25645  0.33198
 -77.0 -0.51289  1.25197  0.33382
 -76.0 -0.54928  1.24712  0.33574
 -75.0 -0.58500  1.24189  0.33774
 -74.0 -0.62001  1.23627  0.33982
 -73.0 -0.65426  1.23028  0.34195
 -72.0 -0.68771  1.22392  0.34413
 -71.0 -0.72032  1.21718  0.34635
 -70.0 -0.75206  1.21007  0.34858
 -69.0 -0.78288  1.20260  0.35082
 -68.0 -0.81275  1.19476  0.35305
 -67.0 -0.84163  1.18655  0.35527
